mdb-2	http://www.londontransit.ca/gtfsfeed/google_transit.zip	London Transit Commission / London / Ontario	https://files.mobilitydatabase.org/mdb-2/latest.zip
mdb-3	http://www.myridebarrie.ca/gtfs/Google_transit.zip	Barrie Transit / Barrie / Ontario	https://files.mobilitydatabase.org/mdb-3/latest.zip
mdb-286	http://mjcaction.com/MJC_GTFS_Public/blackball_google_transit.zip	Black Ball Ferry Line / Victoria / British Columbia	https://files.mobilitydatabase.org/mdb-286/latest.zip
mdb-689	https://data.whitehorse.ca/Google_transit_Feed_Docs.zip	Whitehorse Transit / Whitehorse / Yukon	https://files.mobilitydatabase.org/mdb-689/latest.zip
mdb-690	http://data.trilliumtransit.com/gtfs/bcferries-bc-ca/bcferries-bc-ca.zip	BC Ferries / Southern Gulf Islands Electoral Area / British Columbia	https://files.mobilitydatabase.org/mdb-690/latest.zip
mdb-696	https://gtfs-static.translink.ca/gtfs/google_transit.zip	TransLink Vancouver / Anmore / British Columbia	https://files.mobilitydatabase.org/mdb-696/latest.zip
mdb-710	https://bct.tmix.se/Tmix.Cap.TdExport.WebApi/gtfs/?operatorIds=27	BC Transit (Dawson Creek Transit System) / Dawson Creek / British Columbia	https://files.mobilitydatabase.org/mdb-710/latest.zip
mdb-712	https://data.calgary.ca/download/npk7-z3bj/application%2Fzip	Calgary Transit / Calgary / Alberta	https://files.mobilitydatabase.org/mdb-712/latest.zip
mdb-714	https://gtfs.edmonton.ca/TMGTFSRealTimeWebService/GTFS/GTFS.zip	Edmonton Transit System / Avenue District / Alberta	https://files.mobilitydatabase.org/mdb-714/latest.zip
mdb-715	https://opengis.regina.ca/reginagtfs/google_transit.zip	City of Regina / Regina / Saskatchewan	https://files.mobilitydatabase.org/mdb-715/latest.zip
mdb-717	http://gtfs.winnipegtransit.com/google_transit.zip	Winnipeg Transit / Winnipeg / Manitoba	https://files.mobilitydatabase.org/mdb-717/latest.zip
mdb-718	http://metrolinx.tmix.se/gtfs/gtfs-cornwall.zip	Cornwall Transit / Cornwall / Ontario	https://files.mobilitydatabase.org/mdb-718/latest.zip
mdb-720	https://opendata.citywindsor.ca/Uploads/google_transit.zip	Transit Windsor / Windsor / Ontario	https://files.mobilitydatabase.org/mdb-720/latest.zip
mdb-724	https://opendata.burlington.ca/gtfs-rt/GTFS_Data.zip	Burlington Transit / Burlington / Ontario	https://files.mobilitydatabase.org/mdb-724/latest.zip
mdb-725	https://www.arcgis.com/sharing/rest/content/items/d78a1c1ad6a940009de8b68839a8f606/data	Oakville Transit / Oakville / Ontario	https://files.mobilitydatabase.org/mdb-725/latest.zip
mdb-726	https://maps.durham.ca/OpenDataGTFS/GTFS_Durham_TXT.zip	Durham Region Transit / Ajax / Ontario	https://files.mobilitydatabase.org/mdb-726/latest.zip
mdb-728	https://www.yrt.ca/google/google_transit.zip	York Region Transit / Aurora / Ontario	https://files.mobilitydatabase.org/mdb-728/latest.zip
